day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0
16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0
17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
18.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0
19.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
20.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,20.0
21.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,21.0
22.0,7.0,1.0,7.0,0.0,0.0,0.0,1.0,22.0
23.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,23.0
24.0,10.0,1.0,10.0,0.0,0.0,0.0,1.5,24.0
25.0,10.0,1.0,10.0,0.0,0.0,0.0,1.0,25.0
26.0,12.0,2.0,12.0,0.0,0.0,0.0,2.0,26.0
27.0,14.0,2.0,14.0,0.0,0.0,0.0,3.0,27.0
28.0,17.0,2.0,16.0,0.0,0.0,0.0,3.0,28.0
29.0,20.0,2.0,19.0,1.0,0.0,0.0,3.0,29.0
30.0,21.0,2.0,21.0,1.0,0.0,0.0,3.0,30.0
31.0,24.0,3.0,23.0,1.0,0.0,0.0,4.0,31.0
32.0,27.0,3.0,26.0,1.0,0.0,0.0,5.0,32.0
33.0,29.0,4.0,28.0,2.0,0.0,0.0,6.0,33.0
34.0,34.5,4.0,32.5,2.0,0.0,0.0,6.0,34.0
35.0,39.0,4.5,37.5,2.0,0.0,0.0,7.0,35.0
36.0,45.0,5.0,42.0,3.0,0.0,0.0,8.0,36.0
37.0,51.5,5.5,50.0,3.0,0.0,0.0,9.0,37.0
38.0,56.0,6.0,54.0,4.0,0.0,0.0,10.0,38.0
39.0,68.0,8.0,65.0,4.0,0.0,1.0,12.0,39.0
40.0,77.5,9.0,74.5,5.0,0.0,1.0,14.0,40.0
41.0,88.0,10.0,84.5,6.0,0.0,1.0,15.0,41.0
42.0,99.5,11.0,96.5,6.0,0.0,1.0,16.5,42.0
43.0,110.0,13.0,106.0,7.0,0.0,1.0,19.0,43.0
44.0,130.5,15.0,125.5,8.5,0.0,1.0,23.0,44.0
