day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0
16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0
17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
18.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0
19.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
20.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,20.0
21.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,21.0
22.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,22.0
23.0,8.0,1.0,8.0,0.0,0.0,0.0,1.0,23.0
24.0,8.0,1.0,8.0,0.0,0.0,0.0,1.0,24.0
25.0,10.0,1.0,10.0,0.0,0.0,0.0,1.0,25.0
26.0,12.0,1.0,11.0,0.0,0.0,0.0,2.0,26.0
27.0,13.0,1.0,13.0,0.0,0.0,0.0,2.0,27.0
28.0,15.0,2.0,15.0,0.0,0.0,0.0,2.0,28.0
29.0,16.0,2.0,15.0,1.0,0.0,0.0,3.0,29.0
30.0,19.0,2.0,18.0,1.0,0.0,0.0,3.0,30.0
31.0,22.0,3.0,21.0,1.0,0.0,0.0,4.0,31.0
32.0,24.0,3.0,23.0,1.0,0.0,0.0,4.0,32.0
33.0,27.0,3.0,26.0,1.0,0.0,0.0,5.0,33.0
34.0,32.0,3.5,29.0,1.0,0.0,0.0,5.0,34.0
35.0,35.5,4.0,34.0,2.0,0.0,0.0,6.0,35.0
36.0,40.0,5.0,38.0,2.0,0.0,0.0,7.0,36.0
37.0,45.0,6.0,41.0,3.0,0.0,0.0,8.0,37.0
38.0,50.0,6.0,47.0,3.0,0.0,0.0,9.0,38.0
39.0,57.5,7.0,54.5,3.0,0.0,1.0,11.0,39.0
40.0,65.0,8.0,62.0,4.0,0.0,1.0,12.0,40.0
41.0,72.5,9.0,69.0,5.0,0.0,1.0,14.0,41.0
42.0,85.0,11.0,79.5,5.0,0.0,1.0,17.0,42.0
43.0,95.0,12.0,89.0,6.0,0.0,1.0,20.0,43.0
44.0,108.0,14.0,99.0,8.0,0.0,1.0,22.0,44.0
