day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0
16.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0
17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
18.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0
19.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0
20.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,20.0
21.0,6.5,0.0,6.0,0.0,0.0,0.0,0.0,21.0
22.0,7.0,1.0,7.0,0.0,0.0,0.0,1.0,22.0
23.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,23.0
24.0,10.5,1.0,10.5,0.0,0.0,0.0,1.0,24.0
25.0,11.0,1.0,11.0,0.0,0.0,0.0,1.0,25.0
26.0,14.0,1.0,14.0,0.0,0.0,0.0,2.0,26.0
27.0,14.5,2.0,14.0,0.0,0.0,0.0,2.0,27.0
28.0,17.5,2.0,16.5,0.0,0.0,0.0,2.0,28.0
29.0,20.5,2.0,19.5,1.0,0.0,0.0,3.0,29.0
30.0,19.5,2.0,19.0,1.0,0.0,0.0,3.0,30.0
31.0,23.0,3.0,21.5,1.0,0.0,0.0,4.0,31.0
32.0,26.0,3.0,24.0,1.0,0.0,0.0,4.0,32.0
33.0,33.0,3.0,31.0,1.0,0.0,0.0,5.0,33.0
34.0,36.0,4.0,34.0,2.0,0.0,0.0,6.0,34.0
35.0,38.0,4.0,36.0,2.0,0.0,0.0,6.0,35.0
36.0,43.5,4.0,41.0,2.0,0.0,0.0,7.0,36.0
37.0,52.0,5.0,48.0,3.0,0.0,0.0,8.0,37.0
38.0,59.0,6.0,55.0,3.0,0.0,0.0,9.0,38.0
39.0,67.0,7.0,63.0,4.0,0.0,0.0,10.0,39.0
40.0,78.0,7.0,72.5,4.5,0.0,0.0,12.0,40.0
41.0,94.0,8.0,87.0,6.0,0.0,1.0,14.5,41.0
42.0,106.5,9.0,98.5,7.0,0.0,1.0,16.0,42.0
43.0,121.0,11.0,112.0,8.0,0.0,1.0,20.0,43.0
44.0,135.0,13.0,126.0,9.0,0.0,1.0,22.0,44.0
