day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0
16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0
17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
18.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0
19.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
20.0,7.0,1.0,7.0,0.0,0.0,0.0,1.0,20.0
21.0,7.0,1.0,7.0,0.0,0.0,0.0,1.0,21.0
22.0,8.0,1.0,8.0,0.0,0.0,0.0,1.0,22.0
23.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,23.0
24.0,10.0,1.0,10.0,0.0,0.0,0.0,1.0,24.0
25.0,12.0,1.0,11.0,0.0,0.0,0.0,2.0,25.0
26.0,13.0,1.0,12.0,0.0,0.0,0.0,2.0,26.0
27.0,14.0,1.0,13.0,0.0,0.0,0.0,2.0,27.0
28.0,16.0,2.0,15.0,1.0,0.0,0.0,2.0,28.0
29.0,18.5,2.0,17.0,1.0,0.0,0.0,3.0,29.0
30.0,20.0,2.0,19.0,1.0,0.0,0.0,3.0,30.0
31.0,22.5,3.0,20.5,1.0,0.0,0.0,4.0,31.0
32.0,26.0,3.0,24.5,1.0,0.0,0.0,4.5,32.0
33.0,29.0,4.0,28.0,2.0,0.0,0.0,5.0,33.0
34.0,34.0,4.0,32.0,2.0,0.0,0.0,6.0,34.0
35.0,37.0,4.0,35.0,2.0,0.0,0.0,6.5,35.0
36.0,42.0,5.0,40.0,3.0,0.0,0.0,7.0,36.0
37.0,48.0,5.0,46.5,3.0,0.0,0.0,8.0,37.0
38.0,53.5,6.0,52.0,3.0,0.0,0.0,9.5,38.0
39.0,64.0,7.0,61.0,4.0,0.0,1.0,11.0,39.0
40.0,70.0,7.0,69.0,4.0,0.0,1.0,12.0,40.0
41.0,83.5,8.0,79.5,5.0,0.0,1.0,14.5,41.0
42.0,94.5,10.0,89.0,6.5,0.0,1.0,17.5,42.0
43.0,110.5,12.0,102.0,7.5,0.0,1.0,19.5,43.0
44.0,131.0,13.0,120.0,9.0,0.0,1.0,21.0,44.0
